timestamp,camera_id,vehicle_type,confidence,is_emergency,ETA,signal_state
2026-05-20 12:56:51,2,bus,0.88,False,3,RED
2026-05-20 12:56:51,2,car,0.67,False,2,RED
2026-05-20 12:56:51,2,car,0.61,False,0,RED
2026-05-20 12:56:51,2,car,0.58,False,0,RED
2026-05-20 12:56:51,2,car,0.48,False,0,RED
2026-05-20 12:56:51,2,car,0.45,False,0,RED
2026-05-20 12:56:52,1,car,0.89,False,2,RED
2026-05-20 12:56:52,1,car,0.88,False,2,RED
2026-05-20 12:56:52,1,car,0.86,False,0,RED
2026-05-20 12:56:52,1,car,0.84,False,0,RED
2026-05-20 12:56:52,1,car,0.82,False,0,RED
2026-05-20 12:56:52,1,car,0.8,False,0,RED
2026-05-20 12:56:52,1,car,0.74,False,0,RED
2026-05-20 12:56:52,1,car,0.52,False,0,RED
2026-05-20 12:56:52,1,truck,0.5,False,4,RED
2026-05-20 12:56:52,1,car,0.42,False,0,RED
2026-05-20 12:56:52,1,car,0.41,False,0,RED
2026-05-20 12:56:52,1,bus,0.41,False,4,RED
2026-05-20 12:56:52,1,ambulance,0.75,True,2,RED
2026-05-20 12:56:52,1,ambulance,0.52,True,0,RED
2026-05-20 12:56:54,0,truck,0.64,False,3,RED
2026-05-20 12:56:54,0,car,0.52,False,3,RED
2026-05-20 12:56:57,2,bus,0.86,False,32,RED
2026-05-20 12:56:57,2,car,0.67,False,7,RED
2026-05-20 12:56:57,2,car,0.61,False,7,RED
2026-05-20 12:56:57,2,car,0.6,False,6,RED
2026-05-20 12:56:57,2,car,0.54,False,10,RED
2026-05-20 12:56:57,2,car,0.45,False,11,RED
2026-05-20 12:57:01,1,car,0.9,False,12,GREEN
2026-05-20 12:57:01,1,car,0.89,False,0,GREEN
2026-05-20 12:57:01,1,car,0.88,False,0,GREEN
2026-05-20 12:57:01,1,car,0.81,False,0,GREEN
2026-05-20 12:57:01,1,car,0.81,False,0,GREEN
2026-05-20 12:57:01,1,car,0.77,False,0,GREEN
2026-05-20 12:57:01,1,car,0.71,False,0,GREEN
2026-05-20 12:57:01,1,truck,0.48,False,44,GREEN
2026-05-20 12:57:01,1,ambulance,0.82,True,29,GREEN
2026-05-20 12:57:01,1,ambulance,0.55,True,0,GREEN
2026-05-20 12:57:03,0,truck,0.61,False,35,RED
2026-05-20 12:57:03,0,car,0.49,False,33,RED
2026-05-20 12:57:05,2,bus,0.81,False,32,RED
2026-05-20 12:57:05,2,car,0.69,False,9,RED
2026-05-20 12:57:05,2,car,0.57,False,0,RED
2026-05-20 12:57:05,2,car,0.47,False,0,RED
2026-05-20 12:57:05,3,car,0.78,False,3,RED
2026-05-20 12:57:05,3,bus,0.75,False,3,RED
2026-05-20 12:57:05,3,car,0.72,False,0,RED
2026-05-20 12:57:05,3,car,0.71,False,0,RED
2026-05-20 12:57:05,3,car,0.71,False,0,RED
2026-05-20 12:57:05,3,car,0.7,False,0,RED
2026-05-20 12:57:05,3,car,0.7,False,0,RED
2026-05-20 12:57:05,3,car,0.69,False,0,RED
2026-05-20 12:57:05,3,car,0.68,False,0,RED
2026-05-20 12:57:05,3,car,0.65,False,0,RED
2026-05-20 12:57:05,3,bus,0.62,False,0,RED
2026-05-20 12:57:05,3,car,0.57,False,0,RED
2026-05-20 12:57:05,3,car,0.55,False,0,RED
2026-05-20 12:57:05,3,car,0.5,False,0,RED
2026-05-20 12:57:05,3,bus,0.48,False,0,RED
2026-05-20 12:57:05,3,bus,0.48,False,0,RED
2026-05-20 12:57:05,3,truck,0.46,False,4,RED
2026-05-20 12:57:05,3,car,0.44,False,0,RED
2026-05-20 12:57:05,3,car,0.43,False,0,RED
2026-05-20 12:57:05,3,bus,0.42,False,0,RED
2026-05-20 12:57:05,3,car,0.41,False,0,RED
2026-05-20 12:57:06,1,car,0.9,False,5,GREEN
2026-05-20 12:57:06,1,car,0.89,False,0,GREEN
2026-05-20 12:57:06,1,car,0.87,False,0,GREEN
2026-05-20 12:57:06,1,car,0.81,False,0,GREEN
2026-05-20 12:57:06,1,car,0.8,False,0,GREEN
2026-05-20 12:57:06,1,car,0.78,False,0,GREEN
2026-05-20 12:57:06,1,car,0.71,False,0,GREEN
2026-05-20 12:57:06,1,truck,0.48,False,44,GREEN
2026-05-20 12:57:06,1,ambulance,0.82,True,29,GREEN
2026-05-20 12:57:06,1,ambulance,0.54,True,28,GREEN
2026-05-20 12:57:07,0,truck,0.61,False,35,RED
2026-05-20 12:57:07,0,car,0.49,False,33,RED
2026-05-20 12:57:09,2,bus,0.81,False,32,RED
2026-05-20 12:57:09,2,car,0.69,False,6,RED
2026-05-20 12:57:09,2,car,0.57,False,0,RED
2026-05-20 12:57:09,2,car,0.48,False,0,RED
2026-05-20 12:57:09,2,car,0.4,False,0,RED
2026-05-20 12:57:10,3,car,0.77,False,1,RED
2026-05-20 12:57:10,3,car,0.76,False,0,RED
2026-05-20 12:57:10,3,car,0.75,False,0,RED
2026-05-20 12:57:10,3,car,0.73,False,0,RED
2026-05-20 12:57:10,3,car,0.73,False,0,RED
2026-05-20 12:57:10,3,bus,0.72,False,3,RED
2026-05-20 12:57:10,3,car,0.71,False,0,RED
2026-05-20 12:57:10,3,car,0.7,False,0,RED
2026-05-20 12:57:10,3,car,0.67,False,0,RED
2026-05-20 12:57:10,3,car,0.66,False,0,RED
2026-05-20 12:57:10,3,bus,0.6,False,0,RED
2026-05-20 12:57:10,3,car,0.59,False,0,RED
2026-05-20 12:57:10,3,car,0.55,False,0,RED
2026-05-20 12:57:10,3,bus,0.5,False,0,RED
